source,locality,bhk,price_raw,area_raw,title,url,scraped_date,price,area_sqft,price_per_sqft,year,month,month_name,week_number,festival,is_festival
99acres,Shivaji Nagar,1 BHK,"₹ 9,500/month",571 sq.ft,1 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/1-bhk,2024-01-15,9500,571.0,16.64,2024,1,Jan,3,,False
99acres,Shivaji Nagar,2 BHK,"₹ 12,500/month",780 sq.ft,2 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/2-bhk,2024-01-15,12500,780.0,16.03,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,2 BHK,"₹ 11,000/month",982 sq.ft,2 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/2-bhk,2024-01-15,11000,982.0,11.2,2024,1,Jan,3,,False
99acres,Shivaji Nagar,2 BHK,"₹ 14,000/month",794 sq.ft,2 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/2-bhk,2024-01-15,14000,794.0,17.63,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,2 BHK,"₹ 10,500/month",1020 sq.ft,2 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/2-bhk,2024-01-15,10500,1020.0,10.29,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,2 BHK,"₹ 13,000/month",774 sq.ft,2 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/2-bhk,2024-01-15,13000,774.0,16.8,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,2 BHK,"₹ 9,000/month",838 sq.ft,2 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/2-bhk,2024-01-15,9000,838.0,10.74,2024,1,Jan,3,,False
99acres,Shivaji Nagar,2 BHK,"₹ 10,500/month",750 sq.ft,2 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/2-bhk,2024-01-15,10500,750.0,14.0,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,2 BHK,"₹ 13,000/month",786 sq.ft,2 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/2-bhk,2024-01-15,13000,786.0,16.54,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,3 BHK,"₹ 20,000/month",1399 sq.ft,3 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/3-bhk,2024-01-15,20000,1399.0,14.3,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,3 BHK,"₹ 18,500/month",1459 sq.ft,3 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/3-bhk,2024-01-15,18500,1459.0,12.68,2024,1,Jan,3,,False
99acres,Shivaji Nagar,3 BHK,"₹ 18,000/month",1245 sq.ft,3 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/3-bhk,2024-01-15,18000,1245.0,14.46,2024,1,Jan,3,,False
99acres,Shivaji Nagar,3 BHK,"₹ 17,500/month",1304 sq.ft,3 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/3-bhk,2024-01-15,17500,1304.0,13.42,2024,1,Jan,3,,False
99acres,Shivaji Nagar,3 BHK,"₹ 14,500/month",1402 sq.ft,3 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/3-bhk,2024-01-15,14500,1402.0,10.34,2024,1,Jan,3,,False
99acres,Shivaji Nagar,3 BHK,"₹ 16,500/month",1161 sq.ft,3 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/3-bhk,2024-01-15,16500,1161.0,14.21,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,3 BHK,"₹ 17,000/month",1417 sq.ft,3 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/3-bhk,2024-01-15,17000,1417.0,12.0,2024,1,Jan,3,,False
magicbricks,Shivaji Nagar,3 BHK,"₹ 21,000/month",1339 sq.ft,3 BHK Flat in Shivaji Nagar,https://example.com/shivaji-nagar/3-bhk,2024-01-15,21000,1339.0,15.68,2024,1,Jan,3,,False
magicbricks,Kolar Road,1 BHK,"₹ 7,000/month",549 sq.ft,1 BHK Flat in Kolar Road,https://example.com/kolar-road/1-bhk,2024-01-15,7000,549.0,12.75,2024,1,Jan,3,,False
99acres,Kolar Road,1 BHK,"₹ 5,000/month",532 sq.ft,1 BHK Flat in Kolar Road,https://example.com/kolar-road/1-bhk,2024-01-15,5000,532.0,9.4,2024,1,Jan,3,,False
99acres,Kolar Road,1 BHK,"₹ 7,000/month",570 sq.ft,1 BHK Flat in Kolar Road,https://example.com/kolar-road/1-bhk,2024-01-15,7000,570.0,12.28,2024,1,Jan,3,,False
magicbricks,Kolar Road,1 BHK,"₹ 6,500/month",570 sq.ft,1 BHK Flat in Kolar Road,https://example.com/kolar-road/1-bhk,2024-01-15,6500,570.0,11.4,2024,1,Jan,3,,False
magicbricks,Kolar Road,1 BHK,"₹ 6,000/month",592 sq.ft,1 BHK Flat in Kolar Road,https://example.com/kolar-road/1-bhk,2024-01-15,6000,592.0,10.14,2024,1,Jan,3,,False
magicbricks,Kolar Road,1 BHK,"₹ 7,000/month",428 sq.ft,1 BHK Flat in Kolar Road,https://example.com/kolar-road/1-bhk,2024-01-15,7000,428.0,16.36,2024,1,Jan,3,,False
99acres,Kolar Road,1 BHK,"₹ 7,500/month",440 sq.ft,1 BHK Flat in Kolar Road,https://example.com/kolar-road/1-bhk,2024-01-15,7500,440.0,17.05,2024,1,Jan,3,,False
magicbricks,Kolar Road,1 BHK,"₹ 7,500/month",638 sq.ft,1 BHK Flat in Kolar Road,https://example.com/kolar-road/1-bhk,2024-01-15,7500,638.0,11.76,2024,1,Jan,3,,False
99acres,Kolar Road,1 BHK,"₹ 6,000/month",643 sq.ft,1 BHK Flat in Kolar Road,https://example.com/kolar-road/1-bhk,2024-01-15,6000,643.0,9.33,2024,1,Jan,3,,False
99acres,Kolar Road,2 BHK,"₹ 10,000/month",878 sq.ft,2 BHK Flat in Kolar Road,https://example.com/kolar-road/2-bhk,2024-01-15,10000,878.0,11.39,2024,1,Jan,3,,False
magicbricks,Kolar Road,2 BHK,"₹ 11,000/month",1005 sq.ft,2 BHK Flat in Kolar Road,https://example.com/kolar-road/2-bhk,2024-01-15,11000,1005.0,10.95,2024,1,Jan,3,,False
99acres,Kolar Road,2 BHK,"₹ 12,000/month",995 sq.ft,2 BHK Flat in Kolar Road,https://example.com/kolar-road/2-bhk,2024-01-15,12000,995.0,12.06,2024,1,Jan,3,,False
99acres,Kolar Road,2 BHK,"₹ 10,000/month",753 sq.ft,2 BHK Flat in Kolar Road,https://example.com/kolar-road/2-bhk,2024-01-15,10000,753.0,13.28,2024,1,Jan,3,,False
99acres,Kolar Road,2 BHK,"₹ 10,500/month",889 sq.ft,2 BHK Flat in Kolar Road,https://example.com/kolar-road/2-bhk,2024-01-15,10500,889.0,11.81,2024,1,Jan,3,,False
magicbricks,Kolar Road,2 BHK,"₹ 9,000/month",910 sq.ft,2 BHK Flat in Kolar Road,https://example.com/kolar-road/2-bhk,2024-01-15,9000,910.0,9.89,2024,1,Jan,3,,False
magicbricks,Kolar Road,2 BHK,"₹ 9,000/month",707 sq.ft,2 BHK Flat in Kolar Road,https://example.com/kolar-road/2-bhk,2024-01-15,9000,707.0,12.73,2024,1,Jan,3,,False
magicbricks,Kolar Road,2 BHK,"₹ 12,000/month",1008 sq.ft,2 BHK Flat in Kolar Road,https://example.com/kolar-road/2-bhk,2024-01-15,12000,1008.0,11.9,2024,1,Jan,3,,False
99acres,Kolar Road,2 BHK,"₹ 12,500/month",784 sq.ft,2 BHK Flat in Kolar Road,https://example.com/kolar-road/2-bhk,2024-01-15,12500,784.0,15.94,2024,1,Jan,3,,False
99acres,Kolar Road,3 BHK,"₹ 16,000/month",1451 sq.ft,3 BHK Flat in Kolar Road,https://example.com/kolar-road/3-bhk,2024-01-15,16000,1451.0,11.03,2024,1,Jan,3,,False
magicbricks,Kolar Road,3 BHK,"₹ 18,500/month",1134 sq.ft,3 BHK Flat in Kolar Road,https://example.com/kolar-road/3-bhk,2024-01-15,18500,1134.0,16.31,2024,1,Jan,3,,False
99acres,Kolar Road,3 BHK,"₹ 17,000/month",1426 sq.ft,3 BHK Flat in Kolar Road,https://example.com/kolar-road/3-bhk,2024-01-15,17000,1426.0,11.92,2024,1,Jan,3,,False
magicbricks,Kolar Road,3 BHK,"₹ 15,000/month",1151 sq.ft,3 BHK Flat in Kolar Road,https://example.com/kolar-road/3-bhk,2024-01-15,15000,1151.0,13.03,2024,1,Jan,3,,False
99acres,Kolar Road,3 BHK,"₹ 17,000/month",1479 sq.ft,3 BHK Flat in Kolar Road,https://example.com/kolar-road/3-bhk,2024-01-15,17000,1479.0,11.49,2024,1,Jan,3,,False
magicbricks,Kolar Road,3 BHK,"₹ 19,500/month",1206 sq.ft,3 BHK Flat in Kolar Road,https://example.com/kolar-road/3-bhk,2024-01-15,19500,1206.0,16.17,2024,1,Jan,3,,False
99acres,Kolar Road,3 BHK,"₹ 16,000/month",1486 sq.ft,3 BHK Flat in Kolar Road,https://example.com/kolar-road/3-bhk,2024-01-15,16000,1486.0,10.77,2024,1,Jan,3,,False
magicbricks,Kolar Road,3 BHK,"₹ 19,500/month",1385 sq.ft,3 BHK Flat in Kolar Road,https://example.com/kolar-road/3-bhk,2024-01-15,19500,1385.0,14.08,2024,1,Jan,3,,False
magicbricks,Kolar Road,3 BHK,"₹ 10,500/month",1498 sq.ft,3 BHK Flat in Kolar Road,https://example.com/kolar-road/3-bhk,2024-01-15,10500,1498.0,7.01,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,1 BHK,"₹ 8,000/month",625 sq.ft,1 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/1-bhk,2024-01-15,8000,625.0,12.8,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,1 BHK,"₹ 7,000/month",430 sq.ft,1 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/1-bhk,2024-01-15,7000,430.0,16.28,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,1 BHK,"₹ 7,000/month",416 sq.ft,1 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/1-bhk,2024-01-15,7000,416.0,16.83,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,1 BHK,"₹ 7,000/month",547 sq.ft,1 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/1-bhk,2024-01-15,7000,547.0,12.8,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,1 BHK,"₹ 5,500/month",547 sq.ft,1 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/1-bhk,2024-01-15,5500,547.0,10.05,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,1 BHK,"₹ 7,000/month",418 sq.ft,1 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/1-bhk,2024-01-15,7000,418.0,16.75,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,1 BHK,"₹ 7,500/month",457 sq.ft,1 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/1-bhk,2024-01-15,7500,457.0,16.41,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,1 BHK,"₹ 8,500/month",615 sq.ft,1 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/1-bhk,2024-01-15,8500,615.0,13.82,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,1 BHK,"₹ 6,500/month",529 sq.ft,1 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/1-bhk,2024-01-15,6500,529.0,12.29,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,1 BHK,"₹ 6,500/month",567 sq.ft,1 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/1-bhk,2024-01-15,6500,567.0,11.46,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,2 BHK,"₹ 11,000/month",889 sq.ft,2 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/2-bhk,2024-01-15,11000,889.0,12.37,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,2 BHK,"₹ 13,000/month",785 sq.ft,2 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/2-bhk,2024-01-15,13000,785.0,16.56,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,2 BHK,"₹ 12,000/month",983 sq.ft,2 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/2-bhk,2024-01-15,12000,983.0,12.21,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,2 BHK,"₹ 11,000/month",733 sq.ft,2 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/2-bhk,2024-01-15,11000,733.0,15.01,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,2 BHK,"₹ 12,500/month",824 sq.ft,2 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/2-bhk,2024-01-15,12500,824.0,15.17,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,2 BHK,"₹ 12,000/month",863 sq.ft,2 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/2-bhk,2024-01-15,12000,863.0,13.9,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,2 BHK,"₹ 13,500/month",936 sq.ft,2 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/2-bhk,2024-01-15,13500,936.0,14.42,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,2 BHK,"₹ 10,500/month",721 sq.ft,2 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/2-bhk,2024-01-15,10500,721.0,14.56,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,2 BHK,"₹ 11,000/month",980 sq.ft,2 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/2-bhk,2024-01-15,11000,980.0,11.22,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,2 BHK,"₹ 11,000/month",787 sq.ft,2 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/2-bhk,2024-01-15,11000,787.0,13.98,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,3 BHK,"₹ 14,000/month",1315 sq.ft,3 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/3-bhk,2024-01-15,14000,1315.0,10.65,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,3 BHK,"₹ 18,500/month",1269 sq.ft,3 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/3-bhk,2024-01-15,18500,1269.0,14.58,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,3 BHK,"₹ 18,500/month",1285 sq.ft,3 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/3-bhk,2024-01-15,18500,1285.0,14.4,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,3 BHK,"₹ 18,000/month",1277 sq.ft,3 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/3-bhk,2024-01-15,18000,1277.0,14.1,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,3 BHK,"₹ 17,000/month",1120 sq.ft,3 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/3-bhk,2024-01-15,17000,1120.0,15.18,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,3 BHK,"₹ 14,500/month",1488 sq.ft,3 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/3-bhk,2024-01-15,14500,1488.0,9.74,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,3 BHK,"₹ 16,500/month",1167 sq.ft,3 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/3-bhk,2024-01-15,16500,1167.0,14.14,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,3 BHK,"₹ 17,000/month",1293 sq.ft,3 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/3-bhk,2024-01-15,17000,1293.0,13.15,2024,1,Jan,3,,False
99acres,Ayodhya Nagar,3 BHK,"₹ 16,000/month",1461 sq.ft,3 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/3-bhk,2024-01-15,16000,1461.0,10.95,2024,1,Jan,3,,False
magicbricks,Ayodhya Nagar,3 BHK,"₹ 17,500/month",1252 sq.ft,3 BHK Flat in Ayodhya Nagar,https://example.com/ayodhya-nagar/3-bhk,2024-01-15,17500,1252.0,13.98,2024,1,Jan,3,,False
magicbricks,Hoshangabad Road,1 BHK,"₹ 8,500/month",632 sq.ft,1 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/1-bhk,2024-01-15,8500,632.0,13.45,2024,1,Jan,3,,False
magicbricks,Hoshangabad Road,1 BHK,"₹ 10,000/month",471 sq.ft,1 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/1-bhk,2024-01-15,10000,471.0,21.23,2024,1,Jan,3,,False
magicbricks,Hoshangabad Road,1 BHK,"₹ 8,500/month",439 sq.ft,1 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/1-bhk,2024-01-15,8500,439.0,19.36,2024,1,Jan,3,,False
99acres,Hoshangabad Road,1 BHK,"₹ 8,500/month",454 sq.ft,1 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/1-bhk,2024-01-15,8500,454.0,18.72,2024,1,Jan,3,,False
99acres,Hoshangabad Road,1 BHK,"₹ 8,000/month",545 sq.ft,1 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/1-bhk,2024-01-15,8000,545.0,14.68,2024,1,Jan,3,,False
99acres,Hoshangabad Road,1 BHK,"₹ 6,000/month",587 sq.ft,1 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/1-bhk,2024-01-15,6000,587.0,10.22,2024,1,Jan,3,,False
magicbricks,Hoshangabad Road,1 BHK,"₹ 8,000/month",413 sq.ft,1 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/1-bhk,2024-01-15,8000,413.0,19.37,2024,1,Jan,3,,False
99acres,Hoshangabad Road,2 BHK,"₹ 14,500/month",876 sq.ft,2 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/2-bhk,2024-01-15,14500,876.0,16.55,2024,1,Jan,3,,False
99acres,Hoshangabad Road,2 BHK,"₹ 19,000/month",720 sq.ft,2 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/2-bhk,2024-01-15,19000,720.0,26.39,2024,1,Jan,3,,False
99acres,Hoshangabad Road,2 BHK,"₹ 14,000/month",998 sq.ft,2 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/2-bhk,2024-01-15,14000,998.0,14.03,2024,1,Jan,3,,False
99acres,Hoshangabad Road,2 BHK,"₹ 15,000/month",908 sq.ft,2 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/2-bhk,2024-01-15,15000,908.0,16.52,2024,1,Jan,3,,False
99acres,Hoshangabad Road,2 BHK,"₹ 14,000/month",841 sq.ft,2 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/2-bhk,2024-01-15,14000,841.0,16.65,2024,1,Jan,3,,False
99acres,Hoshangabad Road,2 BHK,"₹ 12,000/month",903 sq.ft,2 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/2-bhk,2024-01-15,12000,903.0,13.29,2024,1,Jan,3,,False
magicbricks,Hoshangabad Road,2 BHK,"₹ 16,500/month",917 sq.ft,2 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/2-bhk,2024-01-15,16500,917.0,17.99,2024,1,Jan,3,,False
magicbricks,Hoshangabad Road,3 BHK,"₹ 23,500/month",1363 sq.ft,3 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/3-bhk,2024-01-15,23500,1363.0,17.24,2024,1,Jan,3,,False
99acres,Hoshangabad Road,3 BHK,"₹ 23,500/month",1474 sq.ft,3 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/3-bhk,2024-01-15,23500,1474.0,15.94,2024,1,Jan,3,,False
magicbricks,Hoshangabad Road,3 BHK,"₹ 18,500/month",1368 sq.ft,3 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/3-bhk,2024-01-15,18500,1368.0,13.52,2024,1,Jan,3,,False
magicbricks,Hoshangabad Road,3 BHK,"₹ 25,500/month",1195 sq.ft,3 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/3-bhk,2024-01-15,25500,1195.0,21.34,2024,1,Jan,3,,False
magicbricks,Hoshangabad Road,3 BHK,"₹ 17,000/month",1152 sq.ft,3 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/3-bhk,2024-01-15,17000,1152.0,14.76,2024,1,Jan,3,,False
99acres,Hoshangabad Road,3 BHK,"₹ 23,000/month",1283 sq.ft,3 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/3-bhk,2024-01-15,23000,1283.0,17.93,2024,1,Jan,3,,False
99acres,Hoshangabad Road,3 BHK,"₹ 28,000/month",1104 sq.ft,3 BHK Flat in Hoshangabad Road,https://example.com/hoshangabad-road/3-bhk,2024-01-15,28000,1104.0,25.36,2024,1,Jan,3,,False
